5.100000,3.500000,1.400000,0.200000,Iris-setosa
4.900000,3.000000,1.400000,0.200000,Iris-setosa
4.700000,3.200000,1.300000,0.200000,Iris-setosa
4.600000,3.100000,1.500000,0.200000,Iris-setosa
5.000000,3.600000,1.400000,0.200000,Iris-setosa
5.400000,3.900000,1.700000,0.400000,Iris-setosa
4.600000,3.400000,1.400000,0.300000,Iris-setosa
5.000000,3.400000,1.500000,0.200000,Iris-setosa
4.400000,2.900000,1.400000,0.200000,Iris-setosa
4.900000,3.100000,1.500000,0.100000,Iris-setosa
5.400000,3.700000,1.500000,0.200000,Iris-setosa
4.800000,3.400000,1.600000,0.200000,Iris-setosa
4.800000,3.000000,1.400000,0.100000,Iris-setosa
4.300000,3.000000,1.100000,0.100000,Iris-setosa
5.800000,4.000000,1.200000,0.200000,Iris-setosa
5.700000,4.400000,1.500000,0.400000,Iris-setosa
7.000000,3.200000,4.700000,1.400000,Iris-versicolor
6.400000,3.200000,4.500000,1.500000,Iris-versicolor
6.900000,3.100000,4.900000,1.500000,Iris-versicolor
5.500000,2.300000,4.000000,1.300000,Iris-versicolor
6.500000,2.800000,4.600000,1.500000,Iris-versicolor
5.700000,2.800000,4.500000,1.300000,Iris-versicolor
6.300000,3.300000,4.700000,1.600000,Iris-versicolor
4.900000,2.400000,3.300000,1.000000,Iris-versicolor
6.600000,2.900000,4.600000,1.300000,Iris-versicolor
5.200000,2.700000,3.900000,1.400000,Iris-versicolor
5.000000,2.000000,3.500000,1.000000,Iris-versicolor
5.900000,3.000000,4.200000,1.500000,Iris-versicolor
6.000000,2.200000,4.000000,1.000000,Iris-versicolor
6.100000,2.900000,4.700000,1.400000,Iris-versicolor
5.600000,2.900000,3.600000,1.300000,Iris-versicolor
6.700000,3.100000,4.400000,1.400000,Iris-versicolor
6.300000,3.300000,6.000000,2.500000,Iris-virginica
5.800000,2.700000,5.100000,1.900000,Iris-virginica
7.100000,3.000000,5.900000,2.100000,Iris-virginica
6.300000,2.900000,5.600000,1.800000,Iris-virginica
6.500000,3.000000,5.800000,2.200000,Iris-virginica
7.600000,3.000000,6.600000,2.100000,Iris-virginica
4.900000,2.500000,4.500000,1.700000,Iris-virginica
7.300000,2.900000,6.300000,1.800000,Iris-virginica
6.700000,2.500000,5.800000,1.800000,Iris-virginica
7.200000,3.600000,6.100000,2.500000,Iris-virginica
6.500000,3.200000,5.100000,2.000000,Iris-virginica
6.400000,2.700000,5.300000,1.900000,Iris-virginica
6.800000,3.000000,5.500000,2.100000,Iris-virginica
5.700000,2.500000,5.000000,2.000000,Iris-virginica
5.800000,2.800000,5.100000,2.400000,Iris-virginica
6.400000,3.200000,5.300000,2.300000,Iris-virginica
